"10540: Registrerte arbeidsledige (prosent), etter region, alder, måned og statistikkvariabel"

"region";"alder";"måned";"Registrert helt arbeidsledige"
"1119 Hå";"15-74 år";"2002M09";1.8
"1119 Hå";"15-74 år";"2002M10";1.7
"1119 Hå";"15-74 år";"2002M11";1.4
"1119 Hå";"15-74 år";"2002M12";1.6
"1120 Klepp";"15-74 år";"1999M01";1.3
"1120 Klepp";"15-74 år";"1999M02";1.3
"1120 Klepp";"15-74 år";"1999M03";1.0
"1120 Klepp";"15-74 år";"1999M04";1.2
"1120 Klepp";"15-74 år";"1999M05";1.1
"1120 Klepp";"15-74 år";"1999M06";1.2
"1120 Klepp";"15-74 år";"1999M07";1.5
"1120 Klepp";"15-74 år";"1999M08";1.3
"1120 Klepp";"15-74 år";"1999M09";1.2
"1120 Klepp";"15-74 år";"1999M10";1.3
"1120 Klepp";"15-74 år";"1999M11";1.3
"1120 Klepp";"15-74 år";"1999M12";1.4
"1120 Klepp";"15-74 år";"2000M01";1.7
"1120 Klepp";"15-74 år";"2000M02";1.7
"1120 Klepp";"15-74 år";"2000M03";1.6
"1120 Klepp";"15-74 år";"2000M04";1.4
"1120 Klepp";"15-74 år";"2000M05";1.5
"1120 Klepp";"15-74 år";"2000M06";1.8
"1120 Klepp";"15-74 år";"2000M07";1.7
"1120 Klepp";"15-74 år";"2000M08";2.0
"1120 Klepp";"15-74 år";"2000M09";1.9
"1120 Klepp";"15-74 år";"2000M10";2.0
"1120 Klepp";"15-74 år";"2000M11";3.7
"1120 Klepp";"15-74 år";"2000M12";3.2
"1120 Klepp";"15-74 år";"2001M01";2.4
"1120 Klepp";"15-74 år";"2001M02";2.0
"1120 Klepp";"15-74 år";"2001M03";1.9
"1120 Klepp";"15-74 år";"2001M04";1.5
"1120 Klepp";"15-74 år";"2001M05";1.4
"1120 Klepp";"15-74 år";"2001M06";1.4
"1120 Klepp";"15-74 år";"2001M07";1.7
"1120 Klepp";"15-74 år";"2001M08";1.8
"1120 Klepp";"15-74 år";"2001M09";1.6
"1120 Klepp";"15-74 år";"2001M10";1.7
"1120 Klepp";"15-74 år";"2001M11";2.0
"1120 Klepp";"15-74 år";"2001M12";2.0
"1120 Klepp";"15-74 år";"2002M01";2.3
"1120 Klepp";"15-74 år";"2002M02";2.1
"1120 Klepp";"15-74 år";"2002M03";2.2
"1120 Klepp";"15-74 år";"2002M04";2.0
"1120 Klepp";"15-74 år";"2002M05";1.8
"1120 Klepp";"15-74 år";"2002M06";1.9
"1120 Klepp";"15-74 år";"2002M07";2.1
